group,make,model,transmission
2A,MERCEDES,C CLASS,AUTOMATIC
2A,MERCEDES,C-CLASS,AUTOMATIC
2A,MERCEDES-BENZ,C-CLASS,AUTOMATIC
2A,MERCEDES-BENZ,C-CLASS ESTATE,AUTOMATIC
2A,AUDI,A4,AUTOMATIC
2A,BMW,3 SERIES,AUTOMATIC
2A,BMW,3 SERIES TOURING ESTATE,AUTOMATIC
2B,HYUNDAI,TUSCON,AUTOMATIC
2B,HYUNDAI,TUCSON,AUTOMATIC
2B,PEUGEOT,3008,AUTO
2B,PEUGEOT,3008,AUTOMATIC
2B,KIA,SPORTAGE,AUTOMATIC
2C,HYUNDAI,TUSCON,MANUAL
2C,KIA,SPORTAGE,MANUAL
2C,PEUGEOT,3008,MANUAL
2CC,KIA,XCEED,MANUAL
2D,PEUGEOT,2008,MANUAL
2D,KIA,STONIC,MANUAL
2DA,PEUGEOT,2008,AUTOMATIC
2G,NISSAN,JUKE,MANUAL
2G,NISSAN,JUKE,AUTOMATIC
2H,KIA,NIRO,AUTOMATIC
2H,TOYOTA,PRIUS,AUTOMATIC
2P,AUDI,A6,AUTOMATIC
2P,MERCEDES,E CLASS,AUTOMATIC
2P,MERCEDES,E-CLASS,AUTOMATIC
2P,BMW,5 SERIES,AUTOMATIC
2P,BMW,5 SERIES TOURING ESTATE,AUTOMATIC
3A,KIA,SORENTO,AUTOMATIC
3A,KIA,SORENTO 4X4,AUTOMATIC
3B,PEUGEOT,5008,MANUAL
3DA,VOLKSWAGEN,SHARAN,AUTOMATIC
3DA,VOLKSWAGEN,CADDY,AUTOMATIC
3P,VOLVO,XC60,AUTOMATIC
3P,MERCEDES,GLC,AUTOMATIC
3P,MERCEDES-BENZ,GLC AWD,AUTOMATIC
4PA,MERCEDES,A CLASS,AUTOMATIC
4PA,MERCEDES,A-CLASS,AUTOMATIC
4PA,MERCEDES-BENZ,A-CLASS,AUTOMATIC
8A,MISSING,8 SEATER,AUTOMATIC
8M,MISSING,8 SEATER,MANUAL
9A,VOLKSWAGEN,TRANSPORTER,AUTOMATIC
9M,FORD,TOURNEO,MANUAL
9M,FORD,TOURNEO,AUTOMATIC
A,SEAT,MII,MANUAL
BA,SEAT,MII,AUTOMATIC
B,FIAT,500,MANUAL
BA,FIAT,500,AUTOMATIC
C,KIA,PICANTO,MANUAL
D,KIA,RIO,MANUAL
D,PEUGEOT,208,MANUAL
DA,TOYOTA,YARIS,AUTOMATIC
DA,PEUGEOT,208,AUTO
DA,PEUGEOT,208,AUTOMATIC
DA,KIA,RIO,AUTOMATIC
G,FORD,FOCUS,MANUAL
G,FORD,FOCUS,AUTOMATIC
G,KIA,CEED,MANUAL
G,KIA,CEED,AUTOMATIC
G,VOLKSWAGEN,GOLF,MANUAL
G,VOLKSWAGEN,GOLF,AUTOMATIC
J,KIA,PRO CEED,MANUAL
J,VOLKSWAGEN,GOLF ESTATE,MANUAL
JA,KIA,PRO CEED,AUTOMATIC
JA,VOLKSWAGEN,GOLF ESTATE,AUTOMATIC
K,KIA,STONIC,MANUAL
KA,KIA,STONIC,AUTOMATIC
K,KIA,XCEED,MANUAL
KA,VOLKSWAGEN,PASSAT,AUTOMATIC
KA,FORD,MONDEO,AUTOMATIC
K,FORD,MONDEO,MANUAL
KAE,VOLKSWAGEN,PASSAT ESTATE,AUTOMATIC
KE,VOLKSWAGEN,PASSAT ESTATE,MANUAL
M,VOLKSWAGEN,GOLF,AUTOMATIC
M,KIA,CEED,AUTOMATIC
M,FORD,FOCUS,AUTOMATIC
P2C,POLESTAR,2,AUTOMATIC
P2C,MISSING,FASTRACK,AUTOMATIC
PIE,VOLKSWAGEN,ID3,AUTOMATIC
